Date : 2022-01-05 15:59:52
Directory : c:\Users\brian\code\work\aics-fms-file-explorer-app
Total : 271 files,  52563 codes, 2900 comments, 3520 blanks, all 58983 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FilterDisplayBar\test\FilterDisplayBar.test.tsx           | TypeScript React |        145 |         14 |         16 |        175 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\HeaderRibbon\CollectionControl.tsx                        | TypeScript React |        244 |         12 |         23 |        279 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\HeaderRibbon\HeaderRibbon.module.css                      | CSS              |         92 |          2 |         16 |        110 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\HeaderRibbon\index.tsx                                    | TypeScript React |         34 |          3 |          6 |         43 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\HeaderRibbon\test\CollectionControl.test.tsx              | TypeScript React |        114 |         15 |         19 |        148 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\HeaderRibbon\test\HeaderRibbon.test.tsx                   | TypeScript React |         32 |          2 |          4 |         38 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\ListPicker\ListPicker.module.css                          | CSS              |         32 |          0 |          5 |         37 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\ListPicker\index.tsx                                      | TypeScript React |        111 |         11 |         18 |        140 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\ListPicker\test\ListPicker.test.tsx                       | TypeScript React |         72 |         15 |         16 |        103 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\Modal\AnnotationSelector\AnnotationSelector.module.css    | CSS              |         26 |          1 |          6 |         33 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\Modal\AnnotationSelector\index.tsx                        | TypeScript React |         63 |          5 |         10 |         78 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\Modal\BaseModal\BaseModal.module.css                      | CSS              |         42 |          6 |         11 |         59 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\Modal\BaseModal\index.tsx                                 | TypeScript React |         55 |          4 |          7 |         66 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\Modal\CollectionForm\CollectionForm.module.css            | CSS              |         56 |          0 |         15 |         71 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\Modal\CollectionForm\index.tsx                            | TypeScript React |        259 |          5 |         17 |        281 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\Modal\CollectionForm\test\CollectionForm.test.tsx         | TypeScript React |        231 |         22 |         32 |        285 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\Modal\CsvManifest\index.tsx                               | TypeScript React |         49 |          4 |          7 |         60 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\Modal\CsvManifest\test\CsvManifest.test.tsx               | TypeScript React |        140 |          9 |         22 |        171 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\Modal\PythonSnippet\PythonSnippet.module.css              | CSS              |         17 |          1 |          4 |         22 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\Modal\PythonSnippet\index.tsx                             | TypeScript React |         72 |          8 |         10 |         90 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\Modal\PythonSnippet\test\PythonSnippet.test.tsx           | TypeScript React |         44 |          4 |          7 |         55 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\Modal\index.tsx                                           | TypeScript React |         34 |          3 |          7 |         44 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\Modal\selectors.ts                                        | TypeScript       |         31 |          6 |          4 |         41 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\Modal\test\selectors.test.ts                              | TypeScript       |         52 |          6 |          9 |         67 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\SearchableDropdown\SearchableDropdown.module.css          | CSS              |         14 |          1 |          2 |         17 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\SearchableDropdown\index.tsx                              | TypeScript React |         53 |          6 |          7 |         66 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\SearchableDropdown\test\SearchableDropdown.test.tsx       | TypeScript React |         68 |          7 |         11 |         86 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\StatusMessage\StatusMessage.module.css                    | CSS              |         15 |          0 |          3 |         18 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\StatusMessage\index.tsx                                   | TypeScript React |         96 |          4 |          9 |        109 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\SvgIcon\SvgIcon.module.css                                | CSS              |          3 |          0 |          1 |          4 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\SvgIcon\index.tsx                                         | TypeScript React |         39 |          4 |          6 |         49 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\WindowActionButton\WindowActionButton.module.css          | CSS              |          8 |          0 |          1 |          9 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\WindowActionButton\index.tsx                              | TypeScript React |         65 |         10 |         11 |         86 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\constants\README.md                                                  | Markdown         |         11 |          0 |          5 |         16 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\constants\index.ts                                                   | TypeScript       |         58 |          3 |          6 |         67 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\AnnotationFormatter\boolean-formatter.ts                      | TypeScript       |         24 |          1 |          7 |         32 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\AnnotationFormatter\date-formatter.ts                         | TypeScript       |         17 |          8 |          3 |         28 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\AnnotationFormatter\date-time-formatter.ts                    | TypeScript       |         10 |          4 |          2 |         16 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\AnnotationFormatter\duration-formatter.ts                     | TypeScript       |         24 |          1 |          6 |         31 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\AnnotationFormatter\identity-formatter.ts                     | TypeScript       |          8 |          0 |          2 |         10 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\AnnotationFormatter\index.ts                                  | TypeScript       |         35 |          5 |          4 |         44 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\AnnotationFormatter\number-formatter.ts                       | TypeScript       |         12 |          0 |          4 |         16 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\AnnotationFormatter\test\formatters.test.ts                   | TypeScript       |         89 |         11 |         26 |        126 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\Annotation\index.ts                                           | TypeScript       |         71 |         27 |         20 |        118 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\Annotation\mocks.ts                                           | TypeScript       |         32 |          0 |          1 |         33 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\Annotation\test\annotation.test.ts                            | TypeScript       |        123 |          5 |         18 |        146 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\FileDetail\index.ts                                           | TypeScript       |         28 |         49 |         11 |         88 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\FileDetail\mocks.ts                                           | TypeScript       |         39 |          0 |          4 |         43 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\FileExplorerURL\index.ts                                      | TypeScript       |        149 |         20 |         16 |        185 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\FileExplorerURL\test\fileexplorerurl.test.ts                  | TypeScript       |        527 |         48 |         53 |        628 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\FileFilter\index.ts                                           | TypeScript       |         36 |          4 |          9 |         49 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\FileFolder\index.ts                                           | TypeScript       |         83 |         50 |         19 |        152 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\FileFolder\test\filefolder.test.ts                            | TypeScript       |        179 |         41 |         44 |        264 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\FileSelection\index.ts                                        | TypeScript       |        368 |        137 |         67 |        572 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\FileSelection\test\FileSelection.test.ts                      | TypeScript       |        666 |        136 |        132 |        934 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\FileSet\index.ts                                              | TypeScript       |        120 |         56 |         34 |        210 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\FileSet\test\FileSet.test.ts                                  | TypeScript       |        155 |          1 |         21 |        177 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\FileSort\index.ts                                             | TypeScript       |         20 |          4 |          5 |         29 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\NumericRange\index.ts                                         | TypeScript       |        153 |         32 |         39 |        224 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\NumericRange\test\NumericRange.test.ts                        | TypeScript       |        352 |         59 |         71 |        482 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\entity\RestServiceResponse\index.ts                                  | TypeScript       |         28 |          4 |          8 |         40 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\errors\DownloadFailure.ts                                            | TypeScript       |         11 |          0 |          4 |         15 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\errors\IndexError.ts                                                 | TypeScript       |          6 |          4 |          1 |         11 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\errors\ValueError.ts                                                 | TypeScript       |          6 |          6 |          1 |         13 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\errors\index.ts                                                      | TypeScript       |          3 |          0 |          1 |          4 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\hooks\useLayoutMeasurements.ts                                       | TypeScript       |         36 |          4 |          7 |         47 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\icons\index.ts                                                       | TypeScript       |          6 |         12 |          3 |         21 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\services\AnnotationService\index.ts                                  | TypeScript       |         87 |         21 |         18 |        126 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\services\AnnotationService\test\AnnotationService.test.ts            | TypeScript       |        158 |          4 |         21 |        183 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\services\ApplicationInfoService\ApplicationInfoServiceNoop.ts        | TypeScript       |         12 |          0 |          4 |         16 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\services\ApplicationInfoService\index.ts                             | TypeScript       |          5 |         12 |          3 |         20 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\services\CsvService\index.ts                                         | TypeScript       |         27 |          4 |          7 |         38 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\services\DatasetService\index.ts                                     | TypeScript       |         97 |         21 |         22 |        140 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\services\DatasetService\test\DatasetService.test.ts                  | TypeScript       |         89 |         11 |         19 |        119 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\services\ExecutionEnvService\ExecutionEnvServiceNoop.ts              | TypeScript       |         27 |          0 |          8 |         35 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\services\ExecutionEnvService\index.ts                                | TypeScript       |         12 |         44 |          9 |         65 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\services\FileDownloadService\FileDownloadServiceNoop.ts              | TypeScript       |         21 |          1 |          5 |         27 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\services\FileDownloadService\index.ts                                | TypeScript       |         28 |         13 |          6 |         47 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\services\FileService\index.ts                                        | TypeScript       |         85 |         19 |         19 |        123 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\services\FileService\test\FileService.test.ts                        | TypeScript       |         84 |          3 |         11 |         98 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\services\FileViewerService\FileViewerServiceNoop.ts                  | TypeScript       |          6 |          0 |          2 |          8 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\services\FileViewerService\index.ts                                  | TypeScript       |          4 |         12 |          2 |         18 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\services\HttpServiceBase\index.ts                                    | TypeScript       |        184 |         29 |         44 |        257 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\services\HttpServiceBase\test\HttpServiceBase.test.ts                | TypeScript       |         36 |          0 |          8 |         44 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\services\NotificationService\NotificationServiceNoop.ts              | TypeScript       |         12 |          0 |          4 |         16 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\services\NotificationService\index.ts                                | TypeScript       |          5 |         15 |          3 |         23 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\services\PersistentConfigService\PersistentConfigServiceNoop.ts      | TypeScript       |         12 |          0 |          4 |         16 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\services\PersistentConfigService\index.ts                            | TypeScript       |         22 |         15 |          6 |         43 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\services\index.ts                                                    | TypeScript       |         23 |          0 |          1 |         24 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\README.md                                                      | Markdown         |         73 |          0 |         21 |         94 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\index.ts                                                       | TypeScript       |         59 |          3 |         13 |         75 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\interaction\actions.ts                                         | TypeScript       |        522 |        145 |         92 |        759 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\interaction\index.ts                                           | TypeScript       |         15 |          0 |          3 |         18 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\interaction\logics.ts                                          | TypeScript       |        601 |         62 |         53 |        716 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\interaction\reducer.ts                                         | TypeScript       |        188 |          4 |          6 |        198 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\interaction\selectors.ts                                       | TypeScript       |         88 |          9 |          9 |        106 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\interaction\test\logics.test.ts                                | TypeScript       |      1,441 |         90 |        115 |      1,646 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\interaction\test\reducer.test.ts                               | TypeScript       |        120 |         13 |         15 |        148 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\metadata\actions.ts                                            | TypeScript       |         44 |         22 |         15 |         81 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\metadata\index.ts                                              | TypeScript       |         12 |          0 |          3 |         15 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\metadata\logics.ts                                             | TypeScript       |         60 |          8 |          8 |         76 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\metadata\reducer.ts                                            | TypeScript       |         33 |          0 |          6 |         39 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\metadata\selectors.ts                                          | TypeScript       |         24 |          2 |          6 |         32 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\metadata\test\logics.test.ts                                   | TypeScript       |         89 |          6 |         14 |        109 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\metadata\test\selectors.test.ts                                | TypeScript       |         56 |          3 |          5 |         64 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\selection\actions.ts                                           | TypeScript       |        309 |        112 |         66 |        487 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\selection\index.ts                                             | TypeScript       |         12 |          0 |          3 |         15 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\selection\logics.ts                                            | TypeScript       |        357 |         67 |         39 |        463 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\selection\reducer.ts                                           | TypeScript       |        157 |          7 |         14 |        178 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\selection\selectors.ts                                         | TypeScript       |         51 |          2 |          7 |         60 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\selection\test\logics.test.ts                                  | TypeScript       |        869 |         80 |         94 |      1,043 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\selection\test\reducer.test.ts                                 | TypeScript       |        299 |         41 |         49 |        389 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\state\selection\test\selectors.test.ts                               | TypeScript       |         90 |         18 |         20 |        128 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\styles\README.md                                                     | Markdown         |         78 |          0 |         26 |        104 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\styles\css-modules.d.ts                                              | TypeScript       |          4 |          1 |          1 |          6 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\styles\global.css                                                    | CSS              |         23 |          0 |          5 |         28 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\util\strings.ts                                                      | TypeScript       |         11 |          8 |          4 |         23 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\util\test\strings.test.ts                                            | TypeScript       |         21 |          9 |         11 |         41 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\.mocharc.js                                                       | JavaScript       |          4 |          7 |          1 |         12 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\package.json                                                      | JSON             |         86 |          0 |          1 |         87 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\scripts\set-env-vars.js                                           | JavaScript       |          2 |          4 |          2 |          8 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\scripts\start-dev.js                                              | JavaScript       |         81 |         12 |         12 |        105 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\scripts\test-env-setup.js                                         | JavaScript       |          1 |          4 |          1 |          6 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\main\global.d.ts                                              | TypeScript       |          3 |          2 |          1 |          6 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\main\index.ts                                                 | TypeScript       |         89 |         17 |         22 |        128 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\main\init-electron-store.js                                   | JavaScript       |          2 |          4 |          2 |          8 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\main\menu\data-source.ts                                      | TypeScript       |         53 |          1 |          5 |         59 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\main\menu\index.ts                                            | TypeScript       |         17 |          2 |          6 |         25 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\main\menu\settings.ts                                         | TypeScript       |         18 |          0 |          3 |         21 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\renderer\index.tsx                                            | TypeScript React |        101 |          4 |         12 |        117 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\services\ApplicationInfoServiceElectron.ts                    | TypeScript       |         45 |          5 |         10 |         60 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\services\ExecutionEnvServiceElectron.ts                       | TypeScript       |        178 |         14 |         26 |        218 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\services\FileDownloadServiceElectron.ts                       | TypeScript       |        314 |         22 |         39 |        375 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\services\FileViewerServiceElectron.ts                         | TypeScript       |         36 |          6 |          7 |         49 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\services\NotificationServiceElectron.ts                       | TypeScript       |         43 |          2 |          8 |         53 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\services\PersistentConfigServiceElectron.ts                   | TypeScript       |        108 |          5 |         12 |        125 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\services\file-viewer-strategy\ViewerStrategy.ts               | TypeScript       |          2 |          5 |          2 |          9 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\services\file-viewer-strategy\defaultViewerStrategy.ts        | TypeScript       |         13 |          8 |          6 |         27 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\services\file-viewer-strategy\fijiViewerStrategy.ts           | TypeScript       |         74 |         24 |         12 |        110 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\services\file-viewer-strategy\macViewerStrategy.ts            | TypeScript       |         13 |          8 |          6 |         27 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\services\file-viewer-strategy\systemDefaultViewerStrategy.ts  | TypeScript       |         34 |         11 |          8 |         53 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\services\test\ApplicationInfoServiceElectron.test.ts          | TypeScript       |         72 |         10 |         16 |         98 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\services\test\ExecutionEnvElectron.test.ts                    | TypeScript       |        281 |         46 |         57 |        384 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\services\test\FileDownloadServiceElectron.test.ts             | TypeScript       |        307 |         39 |         63 |        409 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\services\test\FileViewerServiceElectron.test.ts               | TypeScript       |         53 |          7 |         13 |         73 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\services\test\PersistentConfigServiceElectron.test.ts         | TypeScript       |        103 |         27 |         29 |        159 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\src\util\constants.ts                                             | TypeScript       |         15 |          4 |          4 |         23 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\webpack\constants.js                                              | JavaScript       |         20 |          0 |          4 |         24 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\webpack\index.html                                                | HTML             |         11 |          0 |          0 |         11 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\webpack\plugins.js                                                | JavaScript       |         47 |          0 |          7 |         54 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\webpack\webpack.main.config.js                                    | JavaScript       |         50 |          0 |          3 |         53 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\desktop\webpack\webpack.renderer.config.js                                | JavaScript       |         92 |          7 |          6 |        105 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\web\.mocharc.js                                                           | JavaScript       |          4 |          3 |          1 |          8 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\web\package.json                                                          | JSON             |         37 |          0 |          1 |         38 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\web\scripts\bust-cloudfront-cache.sh                                      | Shell Script     |          3 |          4 |          5 |         12 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\web\scripts\package-for-publish.js                                        | JavaScript       |         32 |          2 |          8 |         42 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\web\scripts\publish-to-artifactory.js                                     | JavaScript       |         34 |          0 |          7 |         41 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\web\src\index.tsx                                                         | TypeScript React |         13 |          0 |          4 |         17 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\web\src\test\index.test.ts                                                | TypeScript       |          6 |          0 |          2 |          8 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\web\webpack\constants.js                                                  | JavaScript       |         20 |          0 |          4 |         24 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\web\webpack\index.html                                                    | HTML             |         11 |          0 |          0 |         11 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\web\webpack\plugins.js                                                    | JavaScript       |         45 |          0 |          7 |         52 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\web\webpack\webpack.config.js                                             | JavaScript       |         77 |          5 |          6 |         88 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\scripts\babel-register.js                                                          | JavaScript       |          6 |          8 |          1 |         15 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\scripts\css-modules-register.js                                                    | JavaScript       |          5 |          3 |          3 |         11 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\scripts\jsdom-register.js                                                          | JavaScript       |         42 |          8 |         10 |         60 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\scripts\setup-fluentui.js                                                          | JavaScript       |          4 |          0 |          2 |          6 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\tsconfig.json                                                                      | JSON             |         18 |          0 |          0 |         18 |
| Total                                                                                                                                  |                  |     52,563 |      2,900 |      3,520 |     58,983 |
+----------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
